"","score","text","Review"
"29",1,"RT @SKPlzVisitEgypt: #ŸÉŸÑŸÜÿß_ÿ≥ŸÑŸÖÿßŸÜ_ÿÆÿßŸÜ 
#IStandWithSalmanKhan I support our #goldenheart from #egypt  @BeingSalmanKhan
#WeStandBySalmanKhan
#‚Ä¶","Happy"
"30",1,"RT @beingola: #IStandWithSalmanKhan I support our #goldenheart from #egypt  @BeingSalmanKhan
#WeStandBySalmanKhan
#WeSupportSalmankhan
#Sal‚Ä¶","Happy"
"31",1,"RT @beingola: #IStandWithSalmanKhan I support our #goldenheart from #egypt  @BeingSalmanKhan
#WeStandBySalmanKhan
#WeSupportSalmankhan
#Sal‚Ä¶","Happy"
"32",1,"RT @SKPlzVisitEgypt: #IStandWithSalmanKhan I support our #goldenheart from #egypt  @BeingSalmanKhan
#WeStandBySalmanKhan
#WeSupportSalmankh‚Ä¶","Happy"
"33",1,"RT @SKEgyptianFC: #ŸÉŸÑŸÜÿß_ÿ≥ŸÑŸÖÿßŸÜ_ÿÆÿßŸÜ 
#IStandWithSalmanKhan I support our #goldenheart from #egypt  @BeingSalmanKhan
#WeStandBySalmanKhan
#WeS‚Ä¶","Happy"
"34",1,"RT @SKEgyptianFC: #ŸÉŸÑŸÜÿß_ÿ≥ŸÑŸÖÿßŸÜ_ÿÆÿßŸÜ 
#IStandWithSalmanKhan I support our #goldenheart from #egypt  @BeingSalmanKhan
#WeStandBySalmanKhan
#WeS‚Ä¶","Happy"
"35",1,"RT @SKEgyptianFC: #IStandWithSalmanKhan I support our #goldenheart from #egypt  @BeingSalmanKhan
#WeStandBySalmanKhan
#WeSupportSalmankhan‚Ä¶","Happy"
"36",1,"RT @salmanunivegypt: #ŸÉŸÑŸÜÿß_ÿ≥ŸÑŸÖÿßŸÜ_ÿÆÿßŸÜ 
#IStandWithSalmanKhan I support our #goldenheart from #egypt  @BeingSalmanKhan
#WeStandBySalmanKhan
#‚Ä¶","Happy"
"37",1,"RT @salmanunivegypt: #ŸÉŸÑŸÜÿß_ÿ≥ŸÑŸÖÿßŸÜ_ÿÆÿßŸÜ 
#IStandWithSalmanKhan I support our #goldenheart from #egypt  @BeingSalmanKhan
#WeStandBySalmanKhan
#‚Ä¶","Happy"
"38",1,"RT @StyloSajjat: Retweeted SK Universe Egypt (@salmanunivegypt):

#IStandWithSalmanKhan I support our #goldenheart from #egypt  @BeingSalma‚Ä¶","Happy"
"39",1,"RT @salmanunivegypt: #IStandWithSalmanKhan I support our #goldenheart from #egypt  @BeingSalmanKhan
#WeStandBySalmanKhan
#WeSupportSalmankh‚Ä¶","Happy"
"40",1,"RT @SalluEgyptianF: #ŸÉŸÑŸÜÿß_ÿ≥ŸÑŸÖÿßŸÜ_ÿÆÿßŸÜ 
#IStandWithSalmanKhan I support our #goldenheart from #egypt  @BeingSalmanKhan
#WeStandBySalmanKhan
#W‚Ä¶","Happy"
"41",0,"RT @BARCIndia: Week 14: Hindi News Genre sees viewership spike of 12%.  #SalmanVerdict #BlackBuckPoachingCase #scstactreview https://t.co/5‚Ä¶","Surprise"
"42",0,"RT @BARCIndia: Week 14: Hindi News Genre sees viewership spike of 12%.  #SalmanVerdict #BlackBuckPoachingCase #scstactreview https://t.co/5‚Ä¶","Surprise"
"43",0,"Week 14: Hindi News Genre sees viewership spike of 12%.  #SalmanVerdict #BlackBuckPoachingCase #scstactreview https://t.co/5hlCZcjmhB","Surprise"
"44",1,"RT @Khushal_offl: #salmangetsbail 
Thank god 
#SalmanKhan #SalmanBailTwist #SalmanVerdict https://t.co/I2mB2ZQfLL","Happy"
"45",0,"RT @MazakHaiKy: If there's anything against Hindu rituals and people defend it by giving reference as SC allows everything to Muslims then‚Ä¶","Surprise"
"46",0,"RT @TeamSalman: I want to raise a question : Is it JUSTICE..?? Ì†ΩÌ∏∑

#SalmanKhan #WeSupportSalmanKhan #WeLoveYouSalmanKhan #BlackBuckPaochingC‚Ä¶","Surprise"
"47",0,"RT @TeamSalman: I want to raise a question : Is it JUSTICE..?? Ì†ΩÌ∏∑

#SalmanKhan #WeSupportSalmanKhan #WeLoveYouSalmanKhan #BlackBuckPaochingC‚Ä¶","Surprise"
"48",0,"RT @priyaactresreal: If You With Salman Khan Retweet Post Ì†ΩÌ±ç
#Salman #WeSupportSalmankhan 
#BlackBuckPoachingCase #SalmanVerdict #WeLoveYouS‚Ä¶","Surprise"
"49",-1,"RT @TeamSalman: Although #SalmanKhan is falsely made victim but Just Show me another Poaching case where Victim gets 5 Yrs Jail.

#WeLoveYo‚Ä¶","Sadness"
"50",0,"RT @TeamSalman: I want to raise a question : Is it JUSTICE..?? Ì†ΩÌ∏∑

#SalmanKhan #WeSupportSalmanKhan #WeLoveYouSalmanKhan #BlackBuckPaochingC‚Ä¶","Surprise"
"51",0,"RT @priyaactresreal: If You With Salman Khan Retweet Post Ì†ΩÌ±ç
#Salman #WeSupportSalmankhan 
#BlackBuckPoachingCase #SalmanVerdict #WeLoveYouS‚Ä¶","Surprise"
"52",-1,"Moment when a criminal is using public money to get bail !! Is law equal for everyone??
#SalmanGetsBail‚Ä¶ https://t.co/sdHPuTCOrl","Sadness"
"53",0,"RT @amareshskumar: SALMAN KHAN CHINKARA POACHING JAIL TERM,   BISHNOIS THE OPIUM DRUG RUNNING CLAN OF ROTHSCHILD - Capt. Ajit Vadakayil 

h‚Ä¶","Surprise"
"54",0,"RT @koenamitra: Apparently #SalmanKhan  is convicted because he's Muslim and Saif Ali Khan is acquitted because he's Hindu/Sikh/.../..../..‚Ä¶","Surprise"
"55",0,"RT @Satym_sk9: ONCE A KING__ALWAYS A KING_
___________________
#SalmanBailOrJail 
#BlackBuckPoachingCase 
#WeLoveYouSalmanKhan 
#SalmanKhan‚Ä¶","Surprise"
"56",2,"This interview is honest but fun and our BHAI has bared it all.
Not literally!Ì†ΩÌ∏ã

Click on the link to watch the ful‚Ä¶ https://t.co/zklMVTHZoz","Happy"
"57",0,"RT @koenamitra: Apparently #SalmanKhan  is convicted because he's Muslim and Saif Ali Khan is acquitted because he's Hindu/Sikh/.../..../..‚Ä¶","Surprise"
"58",1,"RT @Spuul: When the master prankster makes a 'kacha khiladi' move! Ì†ΩÌ∏ÇÌ†ΩÌ∏Ç #prankmaster

Tag the Prankster of your group! Or watch #AndazApnaApn‚Ä¶","Happy"
"59",-1,"Jus few days ago some ppl were against #SalmanVerdict  hw come hes free blah blah ,where r dose ppl today? Y r they‚Ä¶ https://t.co/1HQXTib50f","Sadness"
"60",0,"RT @TeamSalman: I want to raise a question : Is it JUSTICE..?? Ì†ΩÌ∏∑

#SalmanKhan #WeSupportSalmanKhan #WeLoveYouSalmanKhan #BlackBuckPaochingC‚Ä¶","Surprise"
"61",0,"RT @priyaactresreal: If You With Salman Khan Retweet Post Ì†ΩÌ±ç
#Salman #WeSupportSalmankhan 
#BlackBuckPoachingCase #SalmanVerdict #WeLoveYouS‚Ä¶","Surprise"
"62",0,"RT @ps9800423: @rawat_narayan The Judges also working under pressure of ruling govt
see how's Transfer of judge's within a night those who‚Ä¶","Surprise"
"63",0,"RT @TeamSalman: I want to raise a question : Is it JUSTICE..?? Ì†ΩÌ∏∑

#SalmanKhan #WeSupportSalmanKhan #WeLoveYouSalmanKhan #BlackBuckPaochingC‚Ä¶","Surprise"
"64",0,"RT @batsy_ka_bestie: Arre Suna Salman ko 5 saal ki jail ho gai finally.....Ì†ΩÌ∏á
#BlackBuckPoachingCase #BlackBuckVerdict 
#SalmanVerdict https‚Ä¶","Surprise"
"65",0,"RT @TeamSalman: I want to raise a question : Is it JUSTICE..?? Ì†ΩÌ∏∑

#SalmanKhan #WeSupportSalmanKhan #WeLoveYouSalmanKhan #BlackBuckPaochingC‚Ä¶","Surprise"
"66",0,"RT @TeamSalman: I want to raise a question : Is it JUSTICE..?? Ì†ΩÌ∏∑

#SalmanKhan #WeSupportSalmanKhan #WeLoveYouSalmanKhan #BlackBuckPaochingC‚Ä¶","Surprise"
"67",-2,"RT @TheHarshwardhan: #SalmanVerdict why there's so much hype on television. Debates going on. He made a crime and he is prosecuted accordin‚Ä¶","Sadness"
"68",0,"RT @koenamitra: Apparently #SalmanKhan  is convicted because he's Muslim and Saif Ali Khan is acquitted because he's Hindu/Sikh/.../..../..‚Ä¶","Surprise"
"69",1,"RT @DrMafuzur: #BlackBuckPoachingCase

Like Rani Mukherjee Has Said 'My Love Will Always Be With Salman Khan' Ahead Of Pronouncement Of Ver‚Ä¶","Happy"
"70",1,"RT @DrMafuzur: #BlackBuckPoachingCase

Salman Khan Convicted In The 1998 Poaching Case, Others Acquitted.

Vibrant Judiciary Proven Yet Aga‚Ä¶","Happy"
"71",1,"RT @jyoti_tewatia1: WHICH JODI IS YOUR FAVOURITE??? 

LIKE === #dhoni &amp; #sakshi

Retweet === #kohli &amp; #Anushka

#BlackBuckVerdict #SalmanVe‚Ä¶","Happy"
"72",0,"RT @TeamSalman: Wah Re Indian Judicial System 
Ì†ΩÌ±èÌ†ΩÌ±èÌ†ΩÌ±èÌ†ΩÌ±èÌ†ΩÌ±èÌ†ΩÌ±èÌ†ΩÌ±èÌ†ΩÌ±èÌ†ΩÌ±èÌ†ΩÌ±èÌ†ΩÌ±èÌ†ΩÌ±è

#SalmanKhan #WeLoveYouSalmanKhan #BlackBuckPaochingCase #SalmanConvicted #Salm‚Ä¶","Surprise"
"73",0,"RT @abhirajsingh28: Indian media has gone mad about @BeingSalmanKhan being in jail. Lunatics sitting in the newsroom. For heaven sake this‚Ä¶","Surprise"
"74",0,"RT @Saurabhsingh_30: Dua Kro Ki #SalmanKhan ko bail ho jaye.
#SalmanBailorJail
#SalmanVerdict
#BlackBuckPoachingCase
#Jodhpur
#SalmanKhan
‚Ä¢‚Ä¶","Surprise"
